dataset,greedy,gw_sdp,spectral
Extremely Sparse,22.1,27.55,12.3
Isolated,5.95,7.15,2.5
Moderately Dense,46.3,54.35,35.25
Moderately Sparse,25.0,30.9,14.7
Transitioning,21.2,26.65,14.9
Very Dense,66.45,75.45,43.9
Very Sparse,11.4,15.0,5.55
