dataset,greedy,gw_sdp,spectral
Extremely Sparse,16.683875891840813,19.872332366270612,13.545033989755282
Isolated,4.0471170404980015,3.858145699311211,2.4801371834686465
Moderately Dense,33.74990837342927,38.910106126605555,29.483786808240655
Moderately Sparse,17.35144555534778,20.523620477681987,10.66824120284063
Transitioning,15.35908137121631,18.22967716504073,13.037225766555347
Very Dense,50.40127752688739,56.05180191524981,35.354327297514374
Very Sparse,7.62384988533748,8.794774507822488,4.7324169795409246
