dataset,greedy,gw_sdp,spectral
Extremely Sparse,13.386447400360604,16.866740768244103,10.369213787870425
Isolated,3.71395667297561,4.509696237412944,1.7532521422133491
Moderately Dense,25.016293574027216,31.49620200853267,20.12523796611357
Moderately Sparse,14.083423267036455,17.268890013202704,7.509098033359093
Transitioning,12.468878245378843,15.791475891145756,8.082641204279234
Very Dense,37.37666708684732,43.70257703279256,22.76863143741874
Very Sparse,6.608514322515063,8.6004064501533,3.3215497490200185
