,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,22.1,19.0,11.562439189029277,8.0,43.0,0.0013507485389709472,0.027014970779418945,1.0
1,2,spectral,12.3,11.0,5.806031346797914,6.0,24.0,0.026003313064575196,0.5200662612915039,1.0
2,2,gw_sdp,27.55,23.5,16.110477956907424,9.0,57.0,0.01823160648345947,0.36463212966918945,1.0
3,3,greedy,28.4,23.5,15.551205741035004,9.0,56.0,0.0018083930015563964,0.03616786003112793,1.0
4,3,spectral,23.0,20.5,13.30413469565007,8.0,58.0,0.026112580299377443,0.5222516059875488,1.0
5,3,gw_sdp,33.75,28.0,20.376150274278995,9.0,70.0,0.04801114797592163,0.9602229595184326,1.0
6,4,greedy,30.55,25.0,17.133227950389266,10.0,60.0,0.002180969715118408,0.043619394302368164,1.0
7,4,spectral,27.15,24.5,15.193008260380825,9.0,62.0,0.025635898113250732,0.5127179622650146,1.0
8,4,gw_sdp,34.65,29.0,20.99589245543042,10.0,73.0,0.04620230197906494,0.9240460395812988,1.0
