,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,6.608514322515063,5.2195364024302755,4.189579599053394,1.3873927276467242,15.608015829154365,0.0011507630348205566,0.023015260696411133,1.0
1,2,spectral,3.3215497490200185,2.22043167874231,3.069697981403858,0.4321640566678798,10.840101187790351,0.02693275213241577,0.5386550426483154,1.0
2,2,gw_sdp,8.6004064501533,6.415668110538542,5.799537654126979,1.7819530797915615,20.815786089164163,0.026198530197143556,0.5239706039428711,1.0
3,3,greedy,7.62384988533748,5.781119092062559,5.083611014442802,1.7819530797915615,19.011999471315818,0.0017514228820800781,0.03502845764160156,1.0
4,3,spectral,4.7324169795409246,4.415019387495388,3.021301691560195,0.8267244088127171,11.22273948529483,0.026411712169647217,0.5282342433929443,1.0
5,3,gw_sdp,8.794774507822488,5.838517756831337,6.600198050330186,1.7819530797915615,23.292731603695753,0.04822326898574829,0.9644653797149658,1.0
6,4,greedy,8.108150650895498,5.927982248746789,5.489164972618438,1.7819530797915615,20.572977026324775,0.0022069692611694338,0.04413938522338867,1.0
7,4,spectral,5.425523278565742,4.722480240481232,3.447075993440798,0.8267244088127171,12.787097591247674,0.02651247978210449,0.5302495956420898,1.0
8,4,gw_sdp,9.077475995151898,6.262609197500055,6.667494054029661,1.7819530797915615,24.5557158243616,0.05069355964660645,1.013871192932129,1.0
