,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,5.95,6.0,2.8191310718020897,0.0,12.0,0.0011307001113891602,0.022614002227783203,1.0
1,2,spectral,2.5,2.0,1.746424919657298,0.0,7.0,0.09948074817657471,1.9896149635314941,1.0
2,2,gw_sdp,7.15,6.5,3.6231892028984634,0.0,16.0,0.013058722019195557,0.26117444038391113,1.0
3,3,greedy,6.6,6.0,3.2310988842807027,0.0,14.0,0.0018015027046203614,0.03603005409240723,1.0
4,3,spectral,4.05,4.0,2.43874967965144,0.0,12.0,0.02576478719711304,0.5152957439422607,1.0
5,3,gw_sdp,5.2,5.0,2.874021572639983,0.0,14.0,0.03932133913040161,0.7864267826080322,1.0
6,4,greedy,6.95,6.5,3.4420197558991434,0.0,15.0,0.0023584246635437013,0.04716849327087402,1.0
7,4,spectral,5.05,5.0,2.4181604578687494,0.0,9.0,0.0263511061668396,0.527022123336792,1.0
8,4,gw_sdp,6.7,6.0,3.4510867853474796,0.0,16.0,0.039102935791015626,0.7820587158203125,1.0
