,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,25.0,19.0,17.40976737351766,6.0,63.0,0.0014511346817016602,0.029022693634033203,1.0
1,2,spectral,14.7,10.5,11.389029809426262,2.0,43.0,0.02927818298339844,0.5855636596679688,1.0
2,2,gw_sdp,30.9,23.0,22.618355377878384,6.0,79.0,0.01926238536834717,0.38524770736694336,1.0
3,3,greedy,31.8,23.0,23.412817002659036,6.0,84.0,0.0019018411636352538,0.03803682327270508,1.0
4,3,spectral,26.3,19.5,19.550191814915785,3.0,83.0,0.027154433727264404,0.5430886745452881,1.0
5,3,gw_sdp,38.65,27.5,29.78972138171151,5.0,106.0,0.051141345500946046,1.022826910018921,1.0
6,4,greedy,34.55,24.5,25.991296620215007,6.0,94.0,0.0039030790328979494,0.07806158065795898,1.0
7,4,spectral,31.3,25.0,21.052553289328117,4.0,70.0,0.027577412128448487,0.5515482425689697,1.0
8,4,gw_sdp,39.35,28.0,30.60110292130008,6.0,111.0,0.052682888507843015,1.0536577701568604,1.0
