,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate,dataset
45,2,greedy,46.3,35.5,31.194711090183223,14.0,106.0,0.00120316743850708,0.0240633487701416,1.0,Moderately Dense
46,2,spectral,35.25,31.5,29.661212045363218,7.0,134.0,0.026377975940704346,0.5275595188140869,1.0,Moderately Dense
47,2,gw_sdp,54.35,39.0,38.38915862584123,16.0,131.0,0.022707855701446532,0.45415711402893066,1.0,Moderately Dense
48,3,greedy,61.45,45.5,43.927753186339956,17.0,148.0,0.0020020723342895506,0.040041446685791016,1.0,Moderately Dense
49,3,spectral,48.55,43.5,36.55061558989123,12.0,174.0,0.027153944969177245,0.5430788993835449,1.0,Moderately Dense
50,3,gw_sdp,69.35,52.0,51.89727834867644,16.0,176.0,0.05516637563705444,1.1033275127410889,1.0,Moderately Dense
51,4,greedy,68.0,49.0,49.81666387866614,17.0,169.0,0.0025019049644470215,0.05003809928894043,1.0,Moderately Dense
52,4,spectral,64.8,44.5,48.24064676183354,16.0,174.0,0.027736461162567137,0.5547292232513428,1.0,Moderately Dense
53,4,gw_sdp,75.5,53.5,56.05845163755417,17.0,188.0,0.05281248092651367,1.0562496185302734,1.0,Moderately Dense
54,2,greedy,66.45,54.0,45.555982044074085,19.0,158.0,0.0013509869575500488,0.027019739151000977,1.0,Very Dense
55,2,spectral,43.9,27.5,42.815768123437884,8.0,183.0,0.0261449933052063,0.522899866104126,1.0,Very Dense
56,2,gw_sdp,75.45,59.0,55.537802441220165,20.0,192.0,0.02208002805709839,0.4416005611419678,1.0,Very Dense
57,3,greedy,89.55,70.5,62.984502062015224,25.0,216.0,0.0017303705215454101,0.0346074104309082,1.0,Very Dense
58,3,spectral,67.75,48.5,53.133675762175535,15.0,240.0,0.026413822174072267,0.5282764434814453,1.0,Very Dense
59,3,gw_sdp,98.8,75.0,73.73845672374762,27.0,252.0,0.054711782932281496,1.0942356586456299,1.0,Very Dense
60,4,greedy,101.15,78.5,72.50674106591744,28.0,249.0,0.0023429036140441895,0.04685807228088379,1.0,Very Dense
61,4,spectral,81.05,72.5,58.720077486324904,24.0,266.0,0.02763720750808716,0.5527441501617432,1.0,Very Dense
62,4,gw_sdp,108.8,83.0,80.79269768982837,29.0,278.0,0.05018272399902344,1.0036544799804688,1.0,Very Dense
