,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,66.45,54.0,45.555982044074085,19.0,158.0,0.0013509869575500488,0.027019739151000977,1.0
1,2,spectral,43.9,27.5,42.815768123437884,8.0,183.0,0.0261449933052063,0.522899866104126,1.0
2,2,gw_sdp,75.45,59.0,55.537802441220165,20.0,192.0,0.02208002805709839,0.4416005611419678,1.0
3,3,greedy,89.55,70.5,62.984502062015224,25.0,216.0,0.0017303705215454101,0.0346074104309082,1.0
4,3,spectral,67.75,48.5,53.133675762175535,15.0,240.0,0.026413822174072267,0.5282764434814453,1.0
5,3,gw_sdp,98.8,75.0,73.73845672374762,27.0,252.0,0.054711782932281496,1.0942356586456299,1.0
6,4,greedy,101.15,78.5,72.50674106591744,28.0,249.0,0.0023429036140441895,0.04685807228088379,1.0
7,4,spectral,81.05,72.5,58.720077486324904,24.0,266.0,0.02763720750808716,0.5527441501617432,1.0
8,4,gw_sdp,108.8,83.0,80.79269768982837,29.0,278.0,0.05018272399902344,1.0036544799804688,1.0
