,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,37.37666708684732,27.90801113126585,24.7911497540882,13.582436296848172,85.13231004279773,0.001301121711730957,0.02602243423461914,1.0
1,2,spectral,22.76863143741874,17.827264314595823,16.703954257953068,4.740520298843705,74.67564156813968,0.025427615642547606,0.5085523128509521,1.0
2,2,gw_sdp,43.70257703279256,31.49329835324641,31.896852348094423,12.507725473383871,109.34784149540302,0.01982431411743164,0.3964862823486328,1.0
3,3,greedy,50.40127752688739,37.6754787219583,35.195373410635895,15.705746908454474,122.21963707436912,0.0018515467643737793,0.037030935287475586,1.0
4,3,spectral,35.354327297514374,25.75266205538764,20.304501768445828,14.727279257809156,88.80683630026539,0.027175116539001464,0.5435023307800293,1.0
5,3,gw_sdp,56.05180191524981,40.816058306190435,40.53904917426533,15.629652655544067,140.11745999716615,0.049264919757843015,0.9852983951568604,1.0
6,4,greedy,56.396262707702206,41.83772527441886,40.15030734619446,16.942536651770492,137.8063465175474,0.002458655834197998,0.04917311668395996,1.0
7,4,spectral,45.478523323704884,39.34083137543044,29.449967497819415,16.670964375919425,127.68591599472785,0.025924015045166015,0.5184803009033203,1.0
8,4,gw_sdp,60.79715909278374,45.56189476129715,44.357482111178406,17.70659684131183,151.78985046080786,0.04740486145019531,0.9480972290039062,1.0
