dataset,greedy,gw_sdp,spectral
Extremely Sparse,17.766858137998632,20.48749499713528,15.177641281342082
Isolated,4.201163572335167,4.208548487373048,2.6993816310675243
Moderately Dense,37.492924682808436,41.44157923955789,36.57692225198153
Moderately Sparse,18.702983893245758,21.28370364786422,13.4867018089539
Transitioning,16.371203154434674,18.666704365364126,13.15329684929868
Very Dense,56.396262707702206,60.79715909278374,45.478523323704884
Very Sparse,8.108150650895498,9.077475995151898,5.425523278565742
