,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,12.468878245378843,10.07157569146663,5.755770429043712,5.0171030469478115,23.006956483046014,0.0012556910514831543,0.025113821029663086,1.0
1,2,spectral,8.082641204279234,6.1257576149641775,5.620502138831544,1.8291189499445308,21.46097854326106,0.02507704496383667,0.5015408992767334,1.0
2,2,gw_sdp,15.791475891145756,12.930305709315299,8.455691890291039,6.060489173451625,32.02954722717472,0.020670616626739503,0.41341233253479004,1.0
3,3,greedy,15.35908137121631,11.994664521587564,7.456272091823152,6.060489173451624,31.04757339008516,0.0016602873802185059,0.03320574760437012,1.0
4,3,spectral,13.037225766555347,10.061597786900055,6.745567906072028,5.2347636516744975,28.180434216224043,0.02580866813659668,0.5161733627319336,1.0
5,3,gw_sdp,18.22967716504073,13.6738640332646,9.896088106354819,6.190737589708257,38.112949422926334,0.04540398120880127,0.9080796241760254,1.0
6,4,greedy,16.371203154434674,12.584996915484378,8.220535548282125,6.060489173451624,33.81241884384834,0.0021048545837402343,0.04209709167480469,1.0
7,4,spectral,13.15329684929868,10.984192030484932,6.489205694151875,4.1864086652779955,26.19028810951161,0.027427291870117186,0.5485458374023438,1.0
8,4,gw_sdp,18.666704365364126,14.230606118834212,10.05072110196876,6.190737589708257,39.073288489388105,0.047973787784576415,0.9594757556915283,1.0
