,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,46.3,35.5,31.194711090183223,14.0,106.0,0.00120316743850708,0.0240633487701416,1.0
1,2,spectral,35.25,31.5,29.661212045363218,7.0,134.0,0.026377975940704346,0.5275595188140869,1.0
2,2,gw_sdp,54.35,39.0,38.38915862584123,16.0,131.0,0.022707855701446532,0.45415711402893066,1.0
3,3,greedy,61.45,45.5,43.927753186339956,17.0,148.0,0.0020020723342895506,0.040041446685791016,1.0
4,3,spectral,48.55,43.5,36.55061558989123,12.0,174.0,0.027153944969177245,0.5430788993835449,1.0
5,3,gw_sdp,69.35,52.0,51.89727834867644,16.0,176.0,0.05516637563705444,1.1033275127410889,1.0
6,4,greedy,68.0,49.0,49.81666387866614,17.0,169.0,0.0025019049644470215,0.05003809928894043,1.0
7,4,spectral,64.8,44.5,48.24064676183354,16.0,174.0,0.027736461162567137,0.5547292232513428,1.0
8,4,gw_sdp,75.5,53.5,56.05845163755417,17.0,188.0,0.05281248092651367,1.0562496185302734,1.0
