,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,11.4,8.5,7.696752561957543,0.0,28.0,0.0015511393547058105,0.03102278709411621,1.0
1,2,spectral,5.55,4.5,4.224630161327734,0.0,17.0,0.02775024175643921,0.5550048351287842,1.0
2,2,gw_sdp,15.0,10.0,11.454256850621082,0.0,37.0,0.022706210613250732,0.45412421226501465,1.0
3,3,greedy,13.25,9.0,9.694715055121527,0.0,33.0,0.001855325698852539,0.03710651397705078,1.0
4,3,spectral,10.25,7.5,8.123269046387668,0.0,27.0,0.026578879356384276,0.5315775871276855,1.0
5,3,gw_sdp,15.6,10.0,13.013070352534024,0.0,42.0,0.04966808557510376,0.9933617115020752,1.0
6,4,greedy,14.25,10.0,10.587138423577922,0.0,36.0,0.0022575855255126953,0.045151710510253906,1.0
7,4,spectral,11.3,7.0,9.121951545584968,0.0,30.0,0.027474653720855714,0.5494930744171143,1.0
8,4,gw_sdp,16.0,10.0,13.003845585056753,0.0,43.0,0.05092484951019287,1.0184969902038574,1.0
