,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,21.2,18.5,10.122252713699654,9.0,39.0,0.001311337947845459,0.02622675895690918,1.0
1,2,spectral,14.9,13.0,9.989494481704266,3.0,44.0,0.025326216220855714,0.5065243244171143,1.0
2,2,gw_sdp,26.65,23.0,14.792819203924585,9.0,53.0,0.019314324855804442,0.38628649711608887,1.0
3,3,greedy,27.25,22.5,13.645054048995188,11.0,51.0,0.00185164213180542,0.0370328426361084,1.0
4,3,spectral,24.65,23.5,14.471610138474569,8.0,52.0,0.025866937637329102,0.517338752746582,1.0
5,3,gw_sdp,32.3,27.0,17.95577901401106,12.0,65.0,0.04686356782913208,0.9372713565826416,1.0
6,4,greedy,29.15,24.5,14.93410526278692,11.0,55.0,0.0023055315017700196,0.04611063003540039,1.0
7,4,spectral,26.65,26.5,14.585180835354766,10.0,63.0,0.025125956535339354,0.5025191307067871,1.0
8,4,gw_sdp,33.4,28.5,18.534832073693035,12.0,66.0,0.04528343677520752,0.9056687355041504,1.0
