,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,3.71395667297561,3.7410333442910932,1.8971903151036686,0.8293128359023525,7.712212242807988,0.0013048291206359864,0.026096582412719727,1.0
1,2,spectral,1.7532521422133491,1.4570915982322252,1.3830827829655647,0.17627677176072504,6.668178730064411,0.026376867294311525,0.5275373458862305,1.0
2,2,gw_sdp,4.509696237412944,4.2866348063492286,2.797924805494974,0.8293128359023525,11.773429186450393,0.015505182743072509,0.3101036548614502,1.0
3,3,greedy,4.0471170404980015,3.9872134675316477,2.2049079538201526,0.8293128359023525,9.192654148914631,0.0018607378005981445,0.03721475601196289,1.0
4,3,spectral,2.4801371834686465,2.1486511853291628,1.5943008523099809,0.17627677176072504,7.133320318667101,0.02637190818786621,0.5274381637573242,1.0
5,3,gw_sdp,3.858145699311211,3.4580210106916383,2.259897545077429,0.8293128359023525,9.22353472095391,0.0412556529045105,0.82511305809021,1.0
6,4,greedy,4.201163572335167,4.023189601090946,2.3908829188189307,0.8293128359023525,10.066019812700674,0.002200758457183838,0.04401516914367676,1.0
7,4,spectral,2.6993816310675243,2.619016979522274,1.8811255114100933,0.17627677176072504,6.825021972305575,0.026548147201538086,0.5309629440307617,1.0
8,4,gw_sdp,4.208548487373048,4.131557029472443,2.581564054800192,0.8293128359023525,11.026082621302024,0.0414434552192688,0.828869104385376,1.0
