,k,algorithm,mean_cut,median_cut,std_cut,mean_runtime,total_runtime
0,2,greedy,21.32,21.0,4.254127407589012,0.0013713932037353516,0.06856966018676758
1,2,spectral,16.82,15.5,8.638726758035585,0.02623769760131836,1.311884880065918
2,3,greedy,26.54,27.0,5.852213256538077,0.0018245553970336914,0.09122776985168457
3,3,spectral,22.8,22.0,7.678541528180987,0.026490488052368165,1.3245244026184082
4,4,greedy,28.4,29.0,6.421837743200929,0.002167572975158691,0.10837864875793457
5,4,spectral,25.56,25.0,6.603514215930787,0.02670673847198486,1.3353369235992432
