dataset,greedy,spectral
Extremely Sparse,21.32,16.82
Isolated,6.08,2.82
Moderately Dense,39.72,32.72
Moderately Sparse,22.14,16.3
Transitioning,21.0,17.28
Very Dense,57.74,42.74
Very Sparse,10.08,6.86
