,k,algorithm,mean_cut,median_cut,std_cut,mean_runtime,total_runtime
0,2,greedy,22.14,21.5,5.351672635728011,0.0013312816619873047,0.06656408309936523
1,2,spectral,16.3,15.0,8.295179322956196,0.02689615249633789,1.3448076248168945
2,3,greedy,27.56,27.0,7.1390755704082585,0.0020391464233398436,0.10195732116699219
3,3,spectral,24.16,22.0,8.331530471648051,0.02696368217468262,1.3481841087341309
4,4,greedy,29.52,29.0,7.905036369302801,0.002486739158630371,0.12433695793151855
5,4,spectral,27.9,25.5,8.129575634681062,0.02735337257385254,1.367668628692627
