,k,algorithm,mean_cut,median_cut,std_cut,mean_runtime,total_runtime
0,2,greedy,10.08,10.0,2.91094486378564,0.0012684345245361328,0.06342172622680664
1,2,spectral,6.86,7.0,3.9294274392079056,0.027850561141967774,1.3925280570983887
2,3,greedy,11.64,11.5,3.648342089223542,0.001797323226928711,0.08986616134643555
3,3,spectral,9.32,9.0,3.956968536645193,0.026986241340637207,1.3493120670318604
4,4,greedy,12.3,12.0,3.9102429592034302,0.002392129898071289,0.11960649490356445
5,4,spectral,10.44,10.0,3.9352763562423414,0.027229423522949218,1.361471176147461
