,k,algorithm,mean_cut,median_cut,std_cut,mean_runtime,total_runtime
0,2,greedy,12.03959249242946,11.994339601319655,2.6982695221528,0.001341099739074707,0.06705498695373535
1,2,spectral,9.09009103900451,8.856742030999321,4.451714923786018,0.026199750900268555,1.3099875450134277
2,3,greedy,14.665211048455687,14.911094359682247,3.312572834169396,0.0018213367462158203,0.09106683731079102
3,3,spectral,11.51615716514403,11.74467044101608,3.83344473841877,0.02640066623687744,1.320033311843872
4,4,greedy,15.536580816968332,15.710954704589907,3.6012138833209653,0.0023843526840209963,0.1192176342010498
5,4,spectral,13.638482065451425,13.8089679686965,3.7540746653855592,0.0267155122756958,1.33577561378479
