dataset,greedy,spectral
Extremely Sparse,12.03959249242946,9.09009103900451
Isolated,3.357285316772281,1.3234830974078167
Moderately Dense,23.255784721583915,15.833451085277911
Moderately Sparse,12.95823892882298,8.401116488938522
Transitioning,11.680801339382548,7.476124329191698
Very Dense,31.941564721359097,21.30276142751554
Very Sparse,5.701738279988785,2.9724293882158697
