,k,algorithm,mean_cut,median_cut,std_cut,mean_runtime,total_runtime
0,2,greedy,6.08,6.0,1.7302023003105733,0.001244344711303711,0.06221723556518555
1,2,spectral,2.82,2.0,1.9255129186790725,0.05292515277862549,2.6462576389312744
2,3,greedy,6.7,6.0,2.090454496036687,0.0017121076583862306,0.08560538291931152
3,3,spectral,4.36,4.0,2.1886982432487128,0.026224098205566405,1.3112049102783203
4,4,greedy,7.02,7.0,2.14,0.002349095344543457,0.11745476722717285
5,4,spectral,5.26,5.0,2.381680079271773,0.026497888565063476,1.3248944282531738
