,k,algorithm,mean_cut,median_cut,std_cut,mean_runtime,total_runtime
0,2,greedy,39.72,38.5,8.727061361076819,0.0012976551055908204,0.06488275527954102
1,2,spectral,32.72,33.5,15.546112054143956,0.02629262924194336,1.314631462097168
2,3,greedy,52.74,51.5,11.678715682813758,0.0018482780456542968,0.09241390228271484
3,3,spectral,47.66,47.0,13.913461107862414,0.026202521324157714,1.3101260662078857
4,4,greedy,58.1,56.0,12.94797281430572,0.002330460548400879,0.11652302742004395
5,4,spectral,53.76,53.0,13.342503513209206,0.02637437343597412,1.318718671798706
