,k,algorithm,mean_cut,median_cut,std_cut,mean_runtime,total_runtime
0,2,greedy,31.941564721359097,31.313394535624266,6.545634205582136,0.0012631797790527343,0.06315898895263672
1,2,spectral,21.30276142751554,19.751508892343477,11.3334725822981,0.024859256744384765,1.2429628372192383
2,3,greedy,42.876509639694824,41.91548415036874,8.789975837808322,0.001731572151184082,0.0865786075592041
3,3,spectral,31.732462778460512,32.311623323740875,9.274453897330837,0.02561652660369873,1.2808263301849365
4,4,greedy,47.638698484525996,46.885007494331816,9.997559528345581,0.0022707033157348634,0.11353516578674316
5,4,spectral,41.41569702080136,40.01902819931857,9.694660793209696,0.025752406120300293,1.2876203060150146
