,k,algorithm,mean_cut,median_cut,std_cut,mean_runtime,total_runtime
0,2,greedy,21.0,21.0,3.687817782917155,0.0012705612182617187,0.06352806091308594
1,2,spectral,17.28,17.0,8.116748117318906,0.026095314025878905,1.3047657012939453
2,3,greedy,26.14,27.0,5.332954153187519,0.0017876911163330078,0.08938455581665039
3,3,spectral,22.88,23.0,7.19344145732764,0.02676255226135254,1.338127613067627
4,4,greedy,27.92,29.0,5.7994482496182345,0.0023935794830322265,0.11967897415161133
5,4,spectral,25.6,24.5,7.076722405181652,0.026313867568969727,1.3156933784484863
