dataset,greedy,spectral
Extremely Sparse,14.665211048455687,11.51615716514403
Isolated,3.6635556773892133,2.21998887857753
Moderately Dense,30.420063231908497,24.953551244573195
Moderately Sparse,15.679212451455355,12.041802572872921
Transitioning,13.836291598416526,11.186381761536145
Very Dense,42.876509639694824,31.732462778460512
Very Sparse,6.353290880082358,4.133088448670241
