dataset,greedy,spectral
Extremely Sparse,15.536580816968332,13.638482065451425
Isolated,3.8032751953919974,2.7951186979367235
Moderately Dense,33.08600454405086,28.702139211727758
Moderately Sparse,16.719370104696154,14.370438136993748
Transitioning,14.69408685601242,12.936251979443155
Very Dense,47.638698484525996,41.41569702080136
Very Sparse,6.646671745043555,5.138689452927389
