,k,algorithm,mean_cut,median_cut,std_cut,mean_runtime,total_runtime
0,2,greedy,57.74,56.5,12.886908085339943,0.0013955259323120118,0.06977629661560059
1,2,spectral,42.74,46.0,20.405695283425164,0.026870899200439453,1.3435449600219727
2,3,greedy,77.28,75.0,16.84878630643762,0.0016822481155395507,0.08411240577697754
3,3,spectral,62.3,61.0,15.96026315572522,0.026020650863647462,1.301032543182373
4,4,greedy,86.12,83.5,19.445966162677546,0.0022681522369384765,0.11340761184692383
5,4,spectral,76.2,73.5,19.258244987537157,0.026124563217163086,1.3062281608581543
