,k,algorithm,mean_cut,median_cut,std_cut,mean_runtime,total_runtime
0,2,greedy,5.701738279988785,5.3145274917304075,1.9319546548854492,0.00130950927734375,0.0654754638671875
1,2,spectral,2.9724293882158697,2.7097966065827856,1.853525658182794,0.027573556900024415,1.3786778450012207
2,3,greedy,6.353290880082358,5.997457738731542,2.172938442171219,0.0018234682083129884,0.09117341041564941
3,3,spectral,4.133088448670241,3.703277072990115,1.7686425653787377,0.028202686309814453,1.4101343154907227
4,4,greedy,6.646671745043555,6.229842236551017,2.2811703493195004,0.0024447154998779295,0.12223577499389648
5,4,spectral,5.138689452927389,4.869006587094937,2.009372930810448,0.028150296211242674,1.4075148105621338
