dataset,greedy,spectral
Extremely Sparse,26.54,22.8
Isolated,6.7,4.36
Moderately Dense,52.74,47.66
Moderately Sparse,27.56,24.16
Transitioning,26.14,22.88
Very Dense,77.28,62.3
Very Sparse,11.64,9.32
