,Mean,Median,Standard Deviation
Isolated,79.62,82.06,14.82
Transitioning to Connectivity,79.3,81.84,9.11
Extremely Sparse,80.32,81.54,5.78
Very Sparse,84.38,86.3,8.85
Moderately Sparse,79.36,80.09,9.0
Moderately Dense,67.09,68.56,7.64
Very Dense,44.82,45.4,6.69
